Rank,Rider,Rider No.,Team,Times,Gap,B,P,Year,Distance (km),Number of stages,ResultType,TotalSeconds,GapSeconds
144,SÉBASTIEN GRIGNARD,215,LOTTO,81h 34' 20'',+ 05h 33' 48'',,,2025,3323,21,time,293660,20028
145,ALEXIS RENARD,165,COFIDIS,81h 35' 28'',+ 05h 34' 56'',,,2025,3323,21,time,293728,20096
146,JONATHAN MILAN,81,LIDL-TREK,81h 36' 07'',+ 05h 35' 35'',32',00' 10'',2025,3323,21,time,293767,20135
147,BERT VAN LERBERGHE,27,SOUDAL QUICK-STEP,81h 37' 19'',+ 05h 36' 47'',,,2025,3323,21,time,293839,20207
148,TIM MERLIER,24,SOUDAL QUICK-STEP,81h 37' 51'',+ 05h 37' 19'',20',,2025,3323,21,time,293871,20239
149,GUILLAUME BOIVIN,204,ISRAEL - PREMIER TECH,81h 38' 16'',+ 05h 37' 44'',,,2025,3323,21,time,293896,20264
150,DYLAN GROENEWEGEN,124,TEAM JAYCO ALULA,81h 38' 56'',+ 05h 38' 24'',,,2025,3323,21,time,293936,20304
151,PHIL BAUHAUS,52,BAHRAIN VICTORIOUS,81h 40' 01'',+ 05h 39' 29'',04',,2025,3323,21,time,294001,20369
152,LUKA MEZGEC,125,TEAM JAYCO ALULA,81h 40' 40'',+ 05h 40' 08'',,,2025,3323,21,time,294040,20408
153,ARNAUD DEMARE,134,ARKEA-B&B HOTELS,81h 41' 07'',+ 05h 40' 35'',,,2025,3323,21,time,294067,20435
154,BENJAMIN THOMAS,167,COFIDIS,81h 41' 48'',+ 05h 41' 16'',,,2025,3323,21,time,294108,20476
155,KAMIL GRADEK,53,BAHRAIN VICTORIOUS,81h 44' 23'',+ 05h 43' 51'',,,2025,3323,21,time,294263,20631
156,ROEL VAN SINTMAARTENSDIJK,47,INTERMARCHÉ - WANTY,81h 44' 43'',+ 05h 44' 11'',,,2025,3323,21,time,294283,20651
157,FABIAN LIENHARD,115,TUDOR PRO CYCLING TEAM,81h 46' 32'',+ 05h 46' 00'',,,2025,3323,21,time,294392,20760
158,JORDI MEEUS,73,RED BULL - BORA - HANSGROHE,81h 48' 57'',+ 05h 48' 25'',06',,2025,3323,21,time,294537,20905
159,EDWARD THEUNS,88,LIDL-TREK,81h 51' 57'',+ 05h 51' 25'',,,2025,3323,21,time,294717,21085
160,SIMONE CONSONNI,82,LIDL-TREK,81h 52' 12'',+ 05h 51' 40'',,,2025,3323,21,time,294732,21100
